"","자치구","설치년도","위도","경도","id"
"294","강남구","2020","127.107864","37.468945",11680
"295","강남구","2020","127.09156","37.470394",11680
"296","강남구","2020","127.036064","37.51576",11680
"297","강남구","2020","127.093765","37.48432",11680
"298","강남구","2020","127.05247","37.489735",11680
"299","강남구","2020","127.03884","37.507988",11680
"300","강남구","2020","127.06408","37.4837",11680
"301","강남구","2020","127.06356","37.483555",11680
"302","강남구","2020","127.0891","37.483864",11680
"303","강남구","2020","127.03354","37.525646",11680
"304","강남구","2020","127.02609","37.505135",11680
"305","강남구","2020","127.03975","37.509224",11680
"306","강남구","2020","127.04735","37.49945",11680
"307","강남구","2020","127.04426","37.499805",11680
"308","강남구","2020","127.0746","37.488476",11680
"309","강남구","2020","127.02347","37.511852",11680
"310","강남구","2020","127.08049","37.49119",11680
"311","강남구","2020","127.05689","37.483173",11680
"312","강남구","2020","127.05708","37.483715",11680
"313","강남구","2020","127.05499","37.476982",11680
"314","강남구","2020","127.050804","37.48701",11680
"315","강남구","2020","127.09858","37.465767",11680
"316","강남구","2020","127.06326","37.499447",11680
"317","강남구","2020","127.06697","37.495766",11680
"318","강남구","2020","127.07958","37.48247",11680
"319","강남구","2020","127.085976","37.483383",11680
"320","강남구","2020","127.08328","37.48512",11680
"321","강남구","2020","127.087685","37.490654",11680
"322","강남구","2020","127.0356","37.514328",11680
"323","강남구","2020","127.1044","37.482655",11680
"324","강남구","2020","127.076164","37.49849",11680
"325","강남구","2020","127.09335","37.484528",11680
"326","강남구","2020","127.05579","37.507835",11680
"327","강남구","2020","127.05422","37.480858",11680
"328","강남구","2020","127.07196","37.49725",11680
"329","강남구","2020","127.071396","37.496677",11680
"330","강남구","2020","127.043045","37.51281",11680
"331","강남구","2020","127.0546","37.510227",11680
"332","강남구","2020","127.052826","37.482265",11680
"333","강남구","2020","127.06149","37.504074",11680
"334","강동구","2020","127.14903","37.537003",11740
"335","강동구","2020","127.17398","37.564034",11740
"336","강동구","2020","127.17325","37.549404",11740
"337","강동구","2020","127.17237","37.55337",11740
"338","강동구","2020","127.17393","37.566013",11740
"339","강동구","2020","127.17381","37.565884",11740
"340","강동구","2020","127.17543","37.56403",11740
"341","강동구","2020","127.17772","37.56227",11740
"342","강동구","2020","127.17374","37.55734",11740
"343","강동구","2020","127.16832","37.550438",11740
"344","강동구","2020","127.15219","37.549053",11740
"345","강동구","2020","127.15378","37.55937",11740
"346","강동구","2020","127.15508","37.555",11740
"347","강동구","2020","127.165764","37.560146",11740
"348","강동구","2020","127.15814","37.555687",11740
"349","강동구","2020","127.15652","37.560448",11740
"350","강동구","2020","127.152596","37.53904",11740
"351","강동구","2020","127.153015","37.53918",11740
"352","강동구","2020","127.14203","37.53365",11740
"353","강동구","2020","127.13652","37.527588",11740
"354","강동구","2020","127.14818","37.536102",11740
"355","강동구","2020","127.152176","37.55485",11740
"356","강동구","2020","127.1493","37.54835",11740
"357","강동구","2020","127.14945","37.55479",11740
"358","강동구","2020","127.14947","37.554523",11740
"359","강동구","2020","127.14359","37.528843",11740
"360","강동구","2020","127.16755","37.545788",11740
"361","강동구","2020","127.164444","37.556587",11740
"362","강동구","2020","127.16332","37.54598",11740
"363","강동구","2020","127.17236","37.54664",11740
"364","강동구","2020","127.14658","37.55479",11740
"365","강동구","2020","127.13132","37.554615",11740
"366","강동구","2020","127.14212","37.54298",11740
"367","강동구","2020","127.14465","37.55772",11740
"368","강동구","2020","127.13932","37.554558",11740
"369","강동구","2020","127.12846","37.527172",11740
"370","강동구","2020","127.15591","37.547817",11740
"371","강동구","2020","127.17099","37.559757",11740
"372","강북구","2020","127.0112","37.61973",11305
"373","강북구","2020","127.019","37.634434",11305
"374","강북구","2020","127.03919","37.632107",11305
"375","강북구","2020","127.03923","37.632477",11305
"376","강북구","2020","127.023094","37.636974",11305
"377","강북구","2020","127.02872","37.619713",11305
"378","강북구","2020","127.02993","37.61376",11305
"379","강북구","2020","127.03021","37.612896",11305
"380","강북구","2020","127.02665","37.62487",11305
"381","강북구","2020","127.02714","37.62411",11305
"382","강북구","2020","127.047226","37.627014",11305
"383","강북구","2020","127.04437","37.62865",11305
"384","강북구","2020","127.03704","37.626625",11305
"385","강북구","2020","127.03753","37.622585",11305
"386","강북구","2020","127.021645","37.61442",11305
"387","강북구","2020","127.02136","37.61438",11305
"388","강북구","2020","127.016685","37.616177",11305
"389","강북구","2020","127.01883","37.61635",11305
"390","강북구","2020","127.02849","37.61706",11305
"391","강북구","2020","127.0261","37.638477",11305
"392","강북구","2020","127.029045","37.641243",11305
"393","강북구","2020","127.02866","37.640675",11305
"394","강북구","2020","127.02417","37.631226",11305
"395","강북구","2020","127.024574","37.63053",11305
"396","강북구","2020","127.02412","37.636658",11305
"397","강북구","2020","127.02523","37.63749",11305
"398","강북구","2020","127.02272","37.64036",11305
"399","강북구","2020","127.01273","37.663105",11305
"400","강북구","2020","127.01336","37.662045",11305
"401","강북구","2020","127.010826","37.6425",11305
"402","강북구","2020","127.011055","37.64231",11305
"403","강북구","2020","127.04109","37.63111",11305
"404","강서구","2020","126.850464","37.556602",11500
"405","강서구","2020","126.849236","37.55691",11500
"406","강서구","2020","126.84044","37.56482",11500
"407","강서구","2020","126.840096","37.564888",11500
"408","강서구","2020","126.83645","37.536827",11500
"409","강서구","2020","126.836296","37.537178",11500
"410","강서구","2020","126.84764","37.56948",11500
"411","강서구","2020","126.85564","37.56418",11500
"412","강서구","2020","126.863304","37.55981",11500
"413","강서구","2020","126.85513","37.564243",11500
"414","강서구","2020","126.86384","37.55972",11500
"415","강서구","2020","126.84965","37.56848",11500
"416","강서구","2020","126.85397","37.56145",11500
"417","강서구","2020","126.85339","37.562164",11500
"418","강서구","2020","126.856606","37.56046",11500
"419","강서구","2020","126.84381","37.570507",11500
"420","강서구","2020","126.81652","37.57562",11500
"421","강서구","2020","126.85578","37.554756",11500
"422","강서구","2020","126.85409","37.555237",11500
"423","강서구","2020","126.819496","37.549683",11500
"424","강서구","2020","126.86172","37.55723",11500
"425","강서구","2020","126.8026","37.575195",11500
"426","강서구","2020","126.80222","37.575127",11500
"427","강서구","2020","126.80035","37.578457",11500
"428","강서구","2020","126.838165","37.56991",11500
"429","강서구","2020","126.80818","37.559086",11500
"430","강서구","2020","126.811386","37.564747",11500
"431","강서구","2020","126.81631","37.56322",11500
"432","강서구","2020","126.81676","37.562458",11500
"433","강서구","2020","126.8158","37.560726",11500
"434","강서구","2020","126.817154","37.560738",11500
"435","강서구","2020","126.81159","37.57272",11500
"436","강서구","2020","126.865486","37.555447",11500
"437","강서구","2020","126.85322","37.56559",11500
"438","강서구","2020","126.83823","37.544064",11500
"439","강서구","2020","126.84311","37.56261",11500
"440","강서구","2020","126.86865","37.549004",11500
"441","강서구","2020","126.8676","37.54941",11500
"442","강서구","2020","126.86156","37.552628",11500
"443","강서구","2020","126.86053","37.552864",11500
"444","강서구","2020","126.83187","37.55935",11500
"445","강서구","2020","126.83171","37.559284",11500
"446","강서구","2020","126.82642","37.55491",11500
"447","강서구","2020","126.82606","37.554787",11500
"448","강서구","2020","126.82641","37.55747",11500
"449","강서구","2020","126.82675","37.557438",11500
"450","강서구","2020","126.827515","37.559696",11500
"451","강서구","2020","126.82604","37.559692",11500
"452","강서구","2020","126.83916","37.55849",11500
"453","강서구","2020","126.83761","37.558575",11500
"454","강서구","2020","126.83762","37.556038",11500
"455","강서구","2020","126.79856","37.582493",11500
"456","강서구","2020","126.822624","37.57308",11500
"457","강서구","2020","126.816376","37.568966",11500
"458","강서구","2020","126.80959","37.56137",11500
"459","강서구","2020","126.81107","37.561348",11500
"460","강서구","2020","126.81621","37.55452",11500
"461","강서구","2020","126.816925","37.57287",11500
"462","강서구","2020","126.84157","37.568977",11500
"463","강서구","2020","126.87332","37.550236",11500
"464","강서구","2020","126.877625","37.54912",11500
"465","강서구","2020","126.86972","37.553047",11500
"466","강서구","2020","126.875885","37.547096",11500
"467","강서구","2020","126.87506","37.546856",11500
"468","강서구","2020","126.821526","37.546066",11500
"469","강서구","2020","126.82113","37.54596",11500
"470","강서구","2020","126.8365","37.54924",11500
"471","강서구","2020","126.8455","37.557854",11500
"472","강서구","2020","126.843254","37.557873",11500
"473","강서구","2020","126.798874","37.56243",11500
"474","강서구","2020","126.83448","37.54015",11500
"475","관악구","2020","126.95083","37.478687",11620
"476","관악구","2020","126.90245","37.483936",11620
"477","관악구","2020","126.95367","37.48291",11620
"478","관악구","2020","126.95547","37.490715",11620
"479","관악구","2020","126.98167","37.47518",11620
"480","관악구","2020","126.98278","37.472237",11620
"481","관악구","2020","126.92234","37.45865",11620
"482","관악구","2020","126.92773","37.459953",11620
"483","관악구","2020","126.92536","37.461212",11620
"484","관악구","2020","126.94795","37.46674",11620
"485","관악구","2020","126.94963","37.467663",11620
"486","관악구","2020","126.94453","37.47021",11620
"487","관악구","2020","126.91404","37.484528",11620
"488","관악구","2020","126.94002","37.478256",11620
"489","관악구","2020","126.94323","37.479454",11620
"490","관악구","2020","126.94304","37.479656",11620
"491","관악구","2020","126.945625","37.479214",11620
"492","관악구","2020","126.94564","37.479397",11620
"493","관악구","2020","126.91925","37.48923",11620
"494","관악구","2020","126.935814","37.48623",11620
"495","관악구","2020","126.94223","37.4862",11620
"496","관악구","2020","126.90589","37.483513",11620
"497","관악구","2020","126.90782","37.48409",11620
"498","관악구","2020","126.954834","37.485744",11620
"499","관악구","2020","126.90796","37.480755",11620
"500","관악구","2020","126.94786","37.47899",11620
"501","관악구","2020","126.94788","37.479187",11620
"502","광진구","2020","127.07131","37.54096",11215
"503","광진구","2020","127.10328","37.54551",11215
"504","광진구","2020","127.10327","37.545177",11215
"505","광진구","2020","127.103065","37.543472",11215
"506","광진구","2020","127.10309","37.54392",11215
"507","광진구","2020","127.097466","37.541798",11215
"508","광진구","2020","127.08436","37.54221",11215
"509","광진구","2020","127.08315","37.538486",11215
"510","광진구","2020","127.10538","37.54595",11215
"511","광진구","2020","127.08398","37.54525",11215
"512","광진구","2020","127.0891","37.544655",11215
"513","광진구","2020","127.08336","37.56389",11215
"514","광진구","2020","127.0752","37.56153",11215
"515","광진구","2020","127.072784","37.55741",11215
"516","광진구","2020","127.075645","37.558743",11215
"517","광진구","2020","127.0749","37.558792",11215
"518","광진구","2020","127.08247","37.5561",11215
"519","광진구","2020","127.081566","37.556225",11215
"520","광진구","2020","127.08697","37.564198",11215
"521","광진구","2020","127.06902","37.536076",11215
"522","광진구","2020","127.07958","37.57028",11215
"523","광진구","2020","127.0935","37.54892",11215
"524","광진구","2020","127.09261","37.548958",11215
"525","광진구","2020","127.06929","37.534912",11215
"526","광진구","2020","127.06895","37.535233",11215
"527","광진구","2020","127.07501","37.53037",11215
"528","광진구","2020","127.09015","37.55121",11215
"529","광진구","2020","127.08925","37.55242",11215
"530","광진구","2020","127.07723","37.54603",11215
"531","광진구","2020","127.08559","37.567932",11215
"532","광진구","2020","127.08637","37.567867",11215
"533","광진구","2020","127.071175","37.53458",11215
"534","광진구","2020","127.08585","37.53212",11215
"535","광진구","2020","127.0826","37.53689",11215
"536","광진구","2020","127.08461","37.532192",11215
"537","광진구","2020","127.07352","37.533688",11215
"538","광진구","2020","127.07475","37.53355",11215
"539","광진구","2020","127.08655","37.554497",11215
"540","광진구","2020","127.08486","37.55483",11215
"541","구로구","2020","126.8606","37.496796",11530
"542","구로구","2020","126.86205","37.49648",11530
"543","구로구","2020","126.891525","37.49991",11530
"544","구로구","2020","126.85552","37.497353",11530
"545","구로구","2020","126.85513","37.49717",11530
"546","구로구","2020","126.88435","37.49311",11530
"547","구로구","2020","126.87466","37.491486",11530
"548","구로구","2020","126.89122","37.499676",11530
"549","구로구","2020","126.90155","37.4831",11530
"550","구로구","2020","126.84214","37.4817",11530
"551","구로구","2020","126.874466","37.499588",11530
"552","구로구","2020","126.8746","37.499798",11530
"553","구로구","2020","126.87581","37.49013",11530
"554","구로구","2020","126.834305","37.489304",11530
"555","구로구","2020","126.89437","37.4935",11530
"556","구로구","2020","126.88413","37.51082",11530
"557","구로구","2020","126.868","37.499634",11530
"558","구로구","2020","126.86702","37.49938",11530
"559","구로구","2020","126.831345","37.49113",11530
"560","구로구","2020","126.83167","37.49156",11530
"561","구로구","2020","126.82518","37.489483",11530
"562","구로구","2020","126.88398","37.506",11530
"563","구로구","2020","126.883224","37.505344",11530
